"species"
"eliurus majori"
"eliurus tanala"
"ellobius talpinus"
"ellobius tancrei"
"eothenomys cachinus"
"eothenomys custos"
"eothenomys melanogaster"
"eothenomys miletus"
"erethizon dorsatum"
"euryoryzomys macconnelli"
"euryoryzomys nitidus"
"euryzygomatomys spinosus"
"eutamias sibiricus"
"funambulus pennantii"
"funambulus tristriatus"
"funisciurus anerythrus"
"funisciurus congicus"
"funisciurus lemniscatus"
"galea musteloides"
"galea spixii"
"geomys bursarius"
"gerbilliscus brantsii"
"gerbilliscus guineae"
"gerbilliscus kempi"
"gerbilliscus leucogaster"
"gerbilliscus robustus"
"gerbilliscus validus"
"gerbillurus paeba"
"gerbillurus vallinus"
"gerbillus andersoni"
"gerbillus campestris"
"gerbillus dasyurus"
"gerbillus gerbillus"
"gerbillus henleyi"
"gerbillus nanus"
"gerbillus occiduus"
"gerbillus pyramidum"
"glaucomys sabrinus"
"glaucomys volans"
"glis glis"
"golunda ellioti"
"grammomys dolichurus"
"graomys griseoflavus"
"graphiurus murinus"
"handleyomys alfaroi"
"handleyomys fuscatus"
"handleyomys melanotis"
"heimyscus fumosus"
"heliosciurus gambianus"
"heliosciurus rufobrachium"
