"species"
"heteromys adspersus"
"heteromys anomalus"
"heteromys desmarestianus"
"heteromys gaumeri"
"heteromys irroratus"
"heteromys salvini"
"holochilus brasiliensis"
"holochilus chacarius"
"holochilus sciureus"
"hoplomys gymnurus"
"hybomys univittatus"
"hydrochoerus hydrochaeris"
"hydromys chrysogaster"
"hylaeamys laticeps"
"hylaeamys megacephalus"
"hylomyscus alleni"
"hylomyscus stella"
"hypogeomys antimena"
"hystrix africaeaustralis"
"hystrix brachyura"
"hystrix cristata"
"ictidomys tridecemlineatus"
"jaculus jaculus"
"jaculus orientalis"
"kerodon rupestris"
"lagostomus maximus"
"lagurus lagurus"
"lariscus hosei"
"lasiopodomys brandtii"
"leggadina forresti"
"leggadina lakedownensis"
"lemmus lemmus"
"lemmus sibiricus"
"lemmus trimucronatus"
"lemniscomys rosalia"
"lemniscomys striatus"
"lemniscomys zebra"
"leopoldamys edwardsi"
"leopoldamys sabanus"
"lophuromys flavopunctatus"
"lophuromys sikapusi"
"loxodontomys micropus"
"madromys blanfordi"
"marmota baibacina"
"marmota bobak"
"marmota caudata"
"marmota flaviventris"
"marmota himalayana"
"marmota marmota"
"marmota monax"
