"species"
"otospermophilus beecheyi"
"otospermophilus variegatus"
"ototylomys phyllotis"
"oxymycterus hispidus"
"oxymycterus nasutus"
"oxymycterus quaestor"
"oxymycterus rufus"
"pachyuromys duprasi"
"paraxerus cepapi"
"parotomys brantsii"
"pedetes capensis"
"pelomys isseli"
"perognathus flavus"
"perognathus parvus"
"peromyscus attwateri"
"peromyscus aztecus"
"peromyscus beatae"
"peromyscus boylii"
"peromyscus californicus"
"peromyscus crinitus"
"peromyscus difficilis"
"peromyscus eremicus"
"peromyscus gossypinus"
"peromyscus leucopus"
"peromyscus levipes"
"peromyscus maniculatus"
"peromyscus megalops"
"peromyscus melanophrys"
"peromyscus melanotis"
"peromyscus mexicanus"
"peromyscus nasutus"
"peromyscus truei"
"peromyscus yucatanicus"
"phodopus campbelli"
"phodopus roborovskii"
"phodopus sungorus"
"phyllomys dasythrix"
"phyllotis darwini"
"praomys daltoni"
"praomys delectorum"
"praomys jacksoni"
"praomys misonnei"
"praomys rostratus"
"praomys tullbergi"
"proechimys cuvieri"
"proechimys goeldii"
"proechimys guairae"
"proechimys guyannensis"
"proechimys longicaudatus"
"proechimys semispinosus"
