"species"
"neotamias senex"
"neotamias sonomae"
"neotamias speciosus"
"neotamias umbrinus"
"neotoma albigula"
"neotoma cinerea"
"neotoma floridana"
"neotoma fuscipes"
"neotoma lepida"
"neotoma leucodon"
"neotoma macrotis"
"neotoma magister"
"neotoma mexicana"
"neotoma micropus"
"neotoma stephensi"
"nephelomys albigularis"
"nephelomys levipes"
"nesokia indica"
"niviventer andersoni"
"niviventer confucianus"
"niviventer coninga"
"niviventer cremoriventer"
"niviventer eha"
"niviventer fulvescens"
"niviventer niviventer"
"nothocricetulus migratorius"
"notomys alexis"
"notomys fuscus"
"nyctomys sumichrasti"
"ochrotomys nuttalli"
"octodon degus"
"oecomys bicolor"
"oecomys concolor"
"oecomys paricola"
"oligoryzomys chacoensis"
"oligoryzomys flavescens"
"oligoryzomys fornesi"
"oligoryzomys fulvescens"
"oligoryzomys longicaudatus"
"oligoryzomys microtis"
"oligoryzomys nigripes"
"ondatra zibethicus"
"onychomys leucogaster"
"onychomys torridus"
"oryzomys couesi"
"oryzomys palustris"
"otomys irroratus"
"otomys sloggetti"
"otomys tropicalis"
"otomys unisulcatus"
